name,bus0,bus1,c_nfkm,,frequency,from_relation,i_th_max_a,length,length_m,num_parallel,operator,osm_name,r_ohmkm,ref,s_nom,type,voltage,wires,wkt_srid_4326,x_ohmkm
138,117,128,13.7,3,50,1082967,2.6,62.381,62381,1,Amprion,Mittelrhein,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.97257742700703 50.795693017514,7.44948529010545 50.4025276621126)",0.25
139,137,105_220kV,11.5,3,50,1082973,1.3,41.846,41846,1,Amprion,Pfalzdorf Süd,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.22183144595687 51.6946456422206,6.68078798893986 51.6462959356851)",0.32
140,138_220kV,87_220kV,17.25,3,50,1082974,1.95,13.5,13500,1.5,Amprion,Scholven D,0.053333,,743.0497964,Al/St 240/40 2-bundle 220.0,220000,3,"SRID=4326;LINESTRING(7.00674987859998 51.5999114220203,7.06030699176008 51.6964760130648)",0.213333
141,139,105_220kV,11.5,3,50,1082975,1.3,32.152,32152,1,Amprion,Schermbeck Nord,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.03761988504233 51.5985496311832,6.68078798893986 51.6462959356851)",0.32
142,140,87_220kV,11.5,3,50,1082976,1.3,28.023,28023,1,Amprion,Hochlarmark Ost,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.2640834625924 51.5735734103802,7.06030699176008 51.6964760130648)",0.32
143,106_220kV,141,11.5,3,50,1082983,1.3,18.405,18405,1,Amprion,Laer West,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.16721460965932 51.3899067582106,7.2789471130269 51.4722816773138)",0.32
144,142,107_220kV,11.5,3,50,1082984,1.3,17.736,17736,1,Amprion,Herne 1A,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.18667755311932 51.550589070577,7.1255729106725 51.4489772588145)",0.32
145,129_220kV,123_220kV,11.5,3,50,1082985,1.3,30.676,30676,1,Amprion,Frixheim Nord,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.62582790177014 51.2606098249047,6.70220337779745 51.0088609096753)",0.32
146,140,143_220kV,11.5,3,50,1082986,1.3,7.062,7062,1,Amprion,Knepper C,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.2640834625924 51.5735734103802,7.35135784054859 51.568368608134)",0.32
147,142,144,17.25,3,50,1082987,1.95,15.151,15151,1.5,Amprion,Herne 4,0.053333,,743.0497964,Al/St 240/40 2-bundle 220.0,220000,3,"SRID=4326;LINESTRING(7.18667755311932 51.550589070577,7.17937912538938 51.4722019484347)",0.213333
148,140,106_220kV,11.5,3,50,1082989,1.3,30.931,30931,1,Amprion,Pöppinghausen Ost,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.2640834625924 51.5735734103802,7.16721460965932 51.3899067582106)",0.32
149,145,146,11.5,3,50,1082990,1.3,43.148,43148,1,Amprion,Frixheim Süd,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.93488869659333 51.0335223350589,6.82813596908193 51.1626762413706)",0.32
150,147,107_220kV,5.75,3,50,1082992,0.65,37.515,37515,0.5,Amprion,Herdecke Nord,0.16,,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(7.50597329671546 51.401592550355,7.1255729106725 51.4489772588145)",0.64
